Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughName,IncGeo_WardName,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,MainCauseModel,Date
2009,January,primary fire,dwelling,0,0,Haringey,White hart lane,fridge/freezer,internal fittings,kitchen,Hotpoint,fridge/freezer,2009-01-01
2009,May,primary fire,dwelling,0,0,Richmond upon thames,South twickenham,dishwasher,wiring insulation,kitchen,Carlton,dishwasher,2009-05-01
2009,May,primary fire,dwelling,0,0,Harrow,Greenhill,,,kitchen,Hotpoint,aquarius 1100 wm63,2009-05-01
2009,May,primary fire,dwelling,0,0,Harrow,Greenhill,tumble dryer - standard,clothing,kitchen,,,2009-05-01
2009,April,primary fire,dwelling,0,0,Croydon,Broad green,washer/dryer combined,other item,kitchen,Servis,washer dryer 900,2009-04-01
2009,April,primary fire,dwelling,0,0,Newham,Wall end,,other item,kitchen,Intelligent care,aquarius,2009-04-01
2009,March,primary fire,dwelling,0,1,Barnet,Burnt oak,tumble dryer - standard,,conservatory,,,2009-03-01
2009,February,primary fire,dwelling,0,0,Greenwich,Greenwich park,fridge/freezer,internal fittings,kitchen,Bosch,,2009-02-01
2009,February,primary fire,dwelling,0,0,Haringey,White hart lane,fridge/freezer,plastic - raw material only,kitchen,Diamond,4581,2009-02-01
2009,January,primary fire,dwelling,0,1,Tower hamlets,Bromley south,fridge/freezer,wiring insulation,kitchen,,,2009-01-01
2009,June,primary fire,dwelling,0,0,Lewisham,Lewisham central,tumble dryer - standard,other item,kitchen,Indesit,1560v,2009-06-01
2009,June,primary fire,dwelling,0,0,Westminster,Bayswater,washer/dryer combined,wiring insulation,utility room,,,2009-06-01
2009,June,primary fire,dwelling,0,0,Croydon,Thornton heath,dishwasher,wiring insulation,kitchen,Beko,"dwd 5410w, aaa class dishwasher",2009-06-01
2009,January,primary fire,dwelling,0,3,Harrow,Kenton west,tumble dryer - standard,clothing,garage,White knight,inteldry,2009-01-01
2009,March,primary fire,dwelling,0,0,Enfield,Southgate,tumble dryer - standard,wiring insulation,utility room,Hotpoint,aquarius,2009-03-01
2009,March,primary fire,dwelling,0,0,Harrow,North harrow,fridge/freezer,wiring insulation,kitchen,Beko,,2009-03-01
2009,March,primary fire,dwelling,0,0,Tower hamlets,Blackwall & cubitt town,fridge/freezer,other item,kitchen,Creda,model 26051,2009-03-01
2009,March,primary fire,dwelling,0,0,Waltham forest,Markhouse,fridge/freezer,other item,utility room,Beko,,2009-03-01
2009,March,primary fire,dwelling,0,0,Barking and dagenham,Northbury,,other item,kitchen,,,2009-03-01
2009,April,primary fire,dwelling,0,0,Redbridge,Chadwell,dishwasher,other item,kitchen,Diplomat,adp 8132,2009-04-01
2009,April,primary fire,dwelling,0,0,Redbridge,Fullwell,washer/dryer combined,other item,kitchen,Daewoo,dwd-1410ds,2009-04-01
2009,January,primary fire,dwelling,0,0,Sutton,St. helier west,tumble dryer - standard,wiring insulation,,Indesit,,2009-01-01
2009,October,primary fire,dwelling,0,0,Barking and dagenham,Whalebone,fridge/freezer,unspecified internal fitting/part of structure,kitchen,,,2009-10-01
2009,March,primary fire,residential home,0,0,Barnet,West finchley,dishwasher,plastic - raw material only,kitchen,Hotpoint,aquarius dishwasher,2009-03-01
2009,January,primary fire,residential home,0,0,Haringey,West green,,wiring insulation,laundry room,Jla,sluice washer,2009-01-01
2009,December,primary fire,retail,0,0,Westminster,Bayswater,tumble dryer - standard,wiring insulation,store room,,,2009-12-01
2009,February,primary fire,retail,0,0,Havering,Harold wood,tumble dryer - standard,plastic - raw material only,utility room,Hotpoint,aquarius vtd2og -95313280000,2009-02-01
2009,May,primary fire,education,0,0,Havering,Havering-atte-bower,dishwasher,plastic - raw material only,kitchen,Hotpoint,super plus 7820,2009-05-01
2009,October,primary fire,non residential,0,0,Kingston upon thames,Coombe vale,fridge/freezer,wiring insulation,garage,,,2009-10-01
2009,December,primary fire,non residential,0,0,Bromley,Clock house,fridge/freezer,wiring insulation,garage,Indesit,,2009-12-01
2009,May,primary fire,non residential,0,0,Sutton,Worcester park south,fridge/freezer,plastic - raw material only,garage,Proline,slimline plus,2009-05-01
2009,November,primary fire,outdoor structures,0,1,Redbridge,Fullwell,,other item,office,,,2009-11-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Barnet,Childs hill,,wiring insulation,kitchen,Indesit,wia111,2009-07-01
2009,June,primary fire,purpose built flats/maisonettes,0,0,Barking and dagenham,Gascoigne,washer/dryer combined,wiring insulation,kitchen,Candy,cmd146,2009-06-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Newham,Custom house,tumble dryer - standard,internal fittings,kitchen,Hotpoint,aquarius vtd00,2009-07-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Barnet,Finchley church end,fridge/freezer,internal fittings,kitchen,Neff,intergrated fridge,2009-07-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Brent,Alperton,fridge/freezer,other item,kitchen,,,2009-07-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Newham,Plaistow north,tumble dryer - standard,other textiles,kitchen,Hotpoint,aquarius tdl 32,2009-07-01
2009,October,primary fire,purpose built flats/maisonettes,0,0,Camden,South hampstead,,wiring insulation,kitchen,Beko,wma 10w,2009-10-01
2009,December,primary fire,purpose built flats/maisonettes,0,0,Southwark,North bermondsey,fridge/freezer,wiring insulation,kitchen,,,2009-12-01
2009,December,primary fire,purpose built flats/maisonettes,0,0,Wandsworth,Nine elms,washer/dryer combined,wiring insulation,kitchen,Bosch,exxcel,2009-12-01
