Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,ApplianceManufacturerOther,MainCauseModel
2010,October,Primary Fire,Offices and call centres,0,0,E09000013,Hammersmith and Fulham,E05013736,College Park & Old Oak,Electricity,Dishwasher,Wiring insulation,Kitchen,INDESIT,NULL,LS12/DEA60152
2010,October,Primary Fire,Offices and call centres,0,0,E09000007,Camden,E05013655,Camden Town,Electricity,Dishwasher,Wiring insulation,Utility room,HOTPOINT,NULL,FDL 570
2010,November,Primary Fire,Retail,0,0,E09000020,Kensington and Chelsea,E05009390,Campden,Electricity,Washer/Dryer combined,Wiring insulation,Store room,INDESIT,NULL,WDE 71255
2010,November,Primary Fire,Residential Home,0,0,E09000008,Croydon,E05011469,Kenley,Electricity,Tumble dryer - Standard,Other textiles,Laundry room,NULL,NULL,NULL
2010,March,Primary Fire,Residential Home,0,0,E09000014,Haringey,E05013603,West Green,Electricity,Tumble dryer - Standard,Clothing,Laundry room,NULL,NULL,NULL
2010,December,Primary Fire,Dwelling,0,0,E09000017,Hillingdon,E05013570,Heathrow Villages,Electricity,Washing machine,Wiring insulation,Kitchen,SERVIS,NULL,1300rpm
2010,May,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013684,Jubilee,Electricity,Fridge/Freezer,Plastic - raw material only,External structures,BEKO,NULL,TZS490
2010,July,Primary Fire,Dwelling,0,1,E09000024,Merton,E05013821,Pollards Hill,Electricity,Washing machine,Wiring insulation,Kitchen,WHARFDALE,NULL,washing machine
2010,July,Primary Fire,Dwelling,0,0,E09000024,Merton,E05013828,Wimbledon Park,Electricity,Washing machine,Wiring insulation,Kitchen,ZANUSSI,NULL,unknown
2010,July,Primary Fire,Dwelling,0,0,E09000003,Barnet,E05013649,West Hendon,Electricity,Washing machine,Not known,Kitchen,Other,unknown,unkown
2010,July,Primary Fire,Dwelling,0,1,E09000015,Harrow,E05013542,Belmont,Electricity,Dishwasher,Plastic - raw material only,Kitchen,BOSCH,NULL,Exxcel Dishwasher
2010,July,Primary Fire,Dwelling,0,0,E09000018,Hounslow,E05013613,Feltham North,Electricity,Fridge/Freezer,Plastic - raw material only,External structures,FRIGIDAIRE,NULL,FRE196AS
2010,July,Primary Fire,Dwelling,0,0,E09000021,Kingston upon Thames,E05013935,Hook & Chessington North,Electricity,Tumble dryer - Standard,Wiring insulation,Utility room,HOTPOINT,NULL,Aquarius CTD00P
2010,July,Primary Fire,Dwelling,0,0,E09000032,Wandsworth,E05014023,Tooting Bec,Electricity,Dishwasher,Wiring insulation,Kitchen,Other,unknown,unknown
2010,January,Primary Fire,Dwelling,0,0,E09000005,Brent,E05013513,Welsh Harp,Electricity,Fridge/Freezer,Other item,Kitchen,AEG,NULL,C130
2010,January,Primary Fire,Dwelling,0,0,E09000003,Barnet,E05013651,Woodhouse,Electricity,Washing machine,Wiring insulation,Kitchen,Other,Margherta 2000,SN 110203100
2010,June,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013680,Enfield Lock,Electricity,Washing machine,Wiring insulation,Kitchen,AEG,NULL,LAVAMAT
2010,July,Primary Fire,Dwelling,0,6,E09000014,Haringey,E05013585,Alexandra Park,Electricity,Fridge/Freezer,Wiring insulation,Kitchen,ELECTROLUX,NULL,Unknown
2010,January,Primary Fire,Dwelling,0,0,E09000027,Richmond upon Thames,E05013786,South Richmond,Electricity,Tumble dryer - Standard,Not known,Airing/Drying cupboard,NULL,NULL,NULL
2010,August,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013680,Enfield Lock,Electricity,Washing machine,Wiring insulation,Kitchen,BEKO,NULL,wm5 120w
2010,July,Primary Fire,Dwelling,0,0,E09000011,Greenwich,E05014075,Charlton Village & Riverside,Electricity,Dishwasher,Plastic - raw material only,Kitchen,BOSCH,NULL,hydro sensor
2010,August,Primary Fire,Dwelling,0,0,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,Electricity,Tumble dryer - Standard,Other item,Kitchen,HOTPOINT,NULL,Aqurias
2010,August,Primary Fire,Dwelling,0,0,E09000003,Barnet,E05013628,Barnet Vale,Electricity,Dishwasher,Plastic - raw material only,Kitchen,BOSCH,NULL,Unknown
2010,July,Primary Fire,Dwelling,0,0,E09000017,Hillingdon,E05013566,Colham & Cowley,Electricity,Washing machine,Household paper/Cardboard,Kitchen,SERVIS,NULL,easywash 1000
2010,July,Primary Fire,Dwelling,0,0,E09000026,Redbridge,E05011242,Fairlop,Electricity,Washing machine,Wiring insulation,Kitchen,BOSCH,NULL,Classixx 1200
2010,July,Primary Fire,Dwelling,0,0,E09000002,Barking and Dagenham,E05014061,Gascoigne,Electricity,Washing machine,Wiring insulation,Kitchen,INDESIT,NULL,WIA 111
2010,August,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013687,Oakwood,Electricity,Tumble dryer - Standard,Clothing,Conservatory,NULL,NULL,NULL
2010,August,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013694,Upper Edmonton,Electricity,Dishwasher,Internal Fittings,Kitchen,HOTPOINT,NULL,SB 30
2010,September,Primary Fire,Dwelling,0,0,E09000017,Hillingdon,E05013577,Ruislip,Electricity,Fridge/Freezer,Gases,Kitchen,BOSCH,NULL,classixx
